사업장명,Keyword_Review_Summary,Facility_Available,Parking_Available
조선화로구이,"{'""음식이 맛있어요""': 384, '""친절해요""': 166, '""매장이 넓어요""': 83, '""고기 질이 좋아요""': 82}","['예약', '단체 이용 가능', '포장', '무선 인터넷', '남/녀 화장실 구분', '배달', '출입구 휠체어 이용가능']",True
남북통일,"{'""음식이 맛있어요""': 673, '""양이 많아요""': 209, '""특별한 메뉴가 있어요""': 167, '""친절해요""': 138}",[],False
서교참치,"{'""음식이 맛있어요""': 125, '""재료가 신선해요""': 105, '""친절해요""': 105, '""가성비가 좋아요""': 70}","['콜키지 가능', '무한 리필', '예약', '포장', '무선 인터넷', '단체 이용 가능']",False
카레시,"{'""음식이 맛있어요""': 770, '""특별한 메뉴가 있어요""': 341, '""재료가 신선해요""': 304, '""친절해요""': 188}",[],False
형제소머리국밥,"{'""음식이 맛있어요""': 126, '""가성비가 좋아요""': 41, '""친절해요""': 38, '""혼밥하기 좋아요""': 35}",[],False
우주집,"{'""고기 질이 좋아요""': 32, '""음식이 맛있어요""': 31, '""특별한 메뉴가 있어요""': 14, '""친절해요""': 10}","['콜키지 가능', '단체 이용 가능', '포장', '무선 인터넷', '남/녀 화장실 구분']",False
훼미리포차,"{'""음식이 맛있어요""': 53, '""가성비가 좋아요""': 33, '""기본 안주가 좋아요""': 28, '""친절해요""': 23}","['예약', '단체 이용 가능', '포장', '무선 인터넷', '남/녀 화장실 구분', '장애인 주차구역']",False
달봉비어,"{'""음식이 맛있어요""': 86, '""가성비가 좋아요""': 79, '""친절해요""': 56, '""대화하기 좋아요""': 49}","['무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능', '반려동물 동반']",False
네네치킨 서교점,"{'""음식이 맛있어요""': 24, '""친절해요""': 10, '""재료가 신선해요""': 8, '""가성비가 좋아요""': 3}","['예약', '포장', '배달']",False
돈주는남자,"{'""음식이 맛있어요""': 256, '""친절해요""': 139, '""재료가 신선해요""': 90, '""양이 많아요""': 70}","['예약', '단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분']",False
마츠에라멘,"{'""음식이 맛있어요""': 110, '""혼밥하기 좋아요""': 31, '""재료가 신선해요""': 29, '""친절해요""': 28}",[],False
원당감자탕,"{'""음식이 맛있어요""': 97, '""친절해요""': 34, '""혼밥하기 좋아요""': 25, '""양이 많아요""': 25}",[],False
필프리 홍대본점,"{'""빵이 맛있어요""': 330, '""인테리어가 멋져요""': 181, '""특별한 메뉴가 있어요""': 152, '""친절해요""': 148}","['비건 메뉴', '테이크아웃 할인', '포장', '예약', '무선 인터넷']",False
쭈앤쭈,"{'""음식이 맛있어요""': 676, '""재료가 신선해요""': 304, '""친절해요""': 242, '""매장이 넓어요""': 172}","['단체 이용 가능', '예약', '포장']",False
아웃닭 홍대점,"{'""음식이 맛있어요""': 560, '""양이 많아요""': 247, '""친절해요""': 152, '""가성비가 좋아요""': 137}","['포장', '단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분', '대기공간']",False
신선화로,"{'""음식이 맛있어요""': 791, '""고기 질이 좋아요""': 506, '""친절해요""': 354, '""가성비가 좋아요""': 346}","['단체 이용 가능', '예약', '무선 인터넷', '남/녀 화장실 구분']",False
고기장인,"{'""음식이 맛있어요""': 89, '""양이 많아요""': 37, '""재료가 신선해요""': 29, '""가성비가 좋아요""': 26}",[],False
종로빈대떡,"{'""음식이 맛있어요""': 275, '""가성비가 좋아요""': 131, '""친절해요""': 97, '""혼밥하기 좋아요""': 66}","['단체 이용 가능', '포장', '예약']",False
지로우 라멘,"{'""음식이 맛있어요""': 539, '""혼밥하기 좋아요""': 194, '""친절해요""': 152, '""양이 많아요""': 112}",[],False
고향집김치삼겹살,"{'""음식이 맛있어요""': 266, '""고기 질이 좋아요""': 98, '""친절해요""': 78, '""단체모임 하기 좋아요""': 48}","['예약', '포장', '무선 인터넷', '배달', '단체 이용 가능']",False
다북어국,"{'""음식이 맛있어요""': 323, '""재료가 신선해요""': 95, '""친절해요""': 87, '""가성비가 좋아요""': 79}",[],False
큰맘할매순대국,"{'""음식이 맛있어요""': 70, '""가성비가 좋아요""': 25, '""혼밥하기 좋아요""': 22, '""양이 많아요""': 20}","['단체 이용 가능', '포장', '배달']",False
향미,"{'""음식이 맛있어요""': 77, '""가성비가 좋아요""': 57, '""양이 많아요""': 36, '""혼밥하기 좋아요""': 33}",['단체 이용 가능'],False
멘야산다이메,"{'""음식이 맛있어요""': 516, '""혼밥하기 좋아요""': 226, '""친절해요""': 191, '""특별한 메뉴가 있어요""': 120}",['무선 인터넷'],False
정통호프,"{'""음식이 맛있어요""': 53, '""친절해요""': 21, '""가성비가 좋아요""': 21, '""특별한 메뉴가 있어요""': 16}",[],False
다락투,"{'""음식이 맛있어요""': 346, '""친절해요""': 121, '""혼밥하기 좋아요""': 118, '""가성비가 좋아요""': 91}","['남/녀 화장실 구분', '단체 이용 가능']",False
