road_address,name
"서울특별시 마포구 어울마당로 136-3, 2층 (서교동)",꽃게나라
"서울특별시 마포구 독막로7길 45, 2층 (서교동)",단디
"서울특별시 마포구 월드컵로10길 27, 1층 101호 (서교동)",해주방
"서울특별시 마포구 독막로9길 14, 경일빌딩 1층 (서교동)",쏘시지요
"서울특별시 마포구 어울마당로 140, 1층 (서교동)",육전국밥 홍대점
"서울특별시 마포구 와우산로23길 42, 1층 (서교동)",와따분식 홍대점
"서울특별시 마포구 와우산로19길 19, 2층 (서교동)",너가술집사장
"서울특별시 마포구 홍익로 3-3, 2층 (서교동)",한월
"서울특별시 마포구 독막로7길 20 (서교동,2층)",왔쏘 홍대점
"서울특별시 마포구 어울마당로5길 31, B1층 좌측호 (서교동)",88야키토리
"서울특별시 마포구 와우산로15길 49, 2층 일부 우측호 (서교동)",김김포차
"서울특별시 마포구 홍익로3길 35 (서교동,1층)",미쉐
"서울특별시 마포구 와우산로27길 68, 2층 (서교동)",석
"서울특별시 마포구 와우산로17길 24-3, 1층 (서교동)",황포25
"서울특별시 마포구 양화로16길 15, 무광빌딩 2층 201호 (서교동)",일편장어
"서울특별시 마포구 동교로 129, 1층 102호 (서교동)",청운
"서울특별시 마포구 양화로6길 99-3 (서교동,지하1층)",철인7호
"서울특별시 마포구 독막로3길 13 (서교동, 1층, 2층, 3층)",지하102호 5호점
"서울특별시 마포구 와우산로21길 10, 2층 (서교동)",길상양꼬치
"서울특별시 마포구 잔다리로 14, 2층 (서교동)",무청감자탕 홍대점
"서울특별시 마포구 와우산로21길 36-6 (서교동, 지하1층 B01호)",혼가츠
"서울특별시 마포구 월드컵로14길 19, charis 빌딩 2층 (서교동)",한상팔삼 우육미면
"서울특별시 마포구 월드컵로14길 62, 1층 (서교동)",파스토보이 마포점
"서울특별시 마포구 월드컵북로7길 14, 1층 일부호 (서교동)",열정의선창
"서울특별시 마포구 와우산로29바길 5-4, 1층 (서교동)",숨은꼬치
"서울특별시 마포구 와우산로29다길 22, 지하1층 102호 (서교동)",간바레미나상
"서울특별시 마포구 독막로9길 4, 지하1층 (서교동)",힙하디
"서울특별시 마포구 양화로6길 57-24, 지1층 B01호 (서교동, 엘림빌라)",동백상회 합정
"서울특별시 마포구 와우산로29바길 12, 지1층 좌측호 (서교동)",우라난바
"서울특별시 마포구 월드컵북로 41, 1층 103호 (서교동)",제이스피자
"서울특별시 마포구 와우산로29길 34, 1층 101호 (서교동)",한솥도시락 홍대서교점
"서울특별시 마포구 와우산로21길 28-8, 1층 (서교동)",현우동 홍대
"서울특별시 마포구 홍익로5안길 24, 2층 (서교동)",육현전 홍대직영점
"서울특별시 마포구 양화로10길 20, 1층 101호 (서교동)",언덕집
"서울특별시 마포구 월드컵북로5나길 18 (서교동, 서교동대우미래사랑 140호)",무무
"서울특별시 마포구 와우산로23길 56, 지하1층 (서교동)",블랭크
"서울특별시 마포구 와우산로29마길 8, 1,2,3,4층 (서교동)",우물집
"서울특별시 마포구 와우산로29바길 11-3, 1층 일부호 (서교동)",박서교숙성회
"서울특별시 마포구 양화로7길 71, 1층 (서교동)",한본새 서교
"서울특별시 마포구 와우산로 81, 서봉갤러리 1층 일부호 (서교동)",대표분식
"서울특별시 마포구 와우산로32길 11, 지1층 (서교동)",한량
"서울특별시 마포구 독막로9길 5, 1층 (서교동)",오하이요
"서울특별시 마포구 와우산로17길 14, 2층 (서교동)",장모님 부대찌개
"서울특별시 마포구 와우산로29바길 24, 1층 우측호 (서교동)",술쑤시개
"서울특별시 마포구 홍익로 3-30, 포도빌딩 1층 (서교동)",홍대물갈비 홍대본점
"서울특별시 마포구 홍익로5안길 8, 1층 (서교동)",상구네솥뚜껑삼겹살 홍대점
"서울특별시 마포구 월드컵북로7길 34, 1층 (서교동)",유알티
"서울특별시 마포구 독막로7길 21, 2층 (서교동)",신서울전
"서울특별시 마포구 월드컵북로 19, 대상빌딩 1층 (서교동)",대서리
"서울특별시 마포구 와우산로29길 4-13, 2,3층 (서교동)",데이원
"서울특별시 마포구 홍익로3길 44, 호곡빌딩 4층 (서교동)",추파
"서울특별시 마포구 잔다리로 12, 홍석빌딩 1층 (서교동)",슈퍼방구 홍대점
"서울특별시 마포구 와우산로29마길 16, 지1층 좌측호 (서교동)",만휘군상
"서울특별시 마포구 양화로6길 91, 1층 (서교동)",무제
"서울특별시 마포구 독막로3길 29, 2층 (서교동)",선비다이닝
"서울특별시 마포구 잔다리로 35, 1층 101호 (서교동)",솥돈 홍대점
"서울특별시 마포구 와우산로29라길 7, 지하1층 일부 1호 (서교동)",밍키친
"서울특별시 마포구 어울마당로 58-1, 2층 (서교동)",불간짬뽕
"서울특별시 마포구 동교로 140, 1층 우측호 (서교동)",우미토부
"서울특별시 마포구 월드컵북로5길 12, 도경빌딩 1층 (서교동)",소담촌
"서울특별시 마포구 와우산로27길 26, 지하1층 일부호 (서교동)",타코베이커
"서울특별시 마포구 독막로3길 27, 1층 우측호 (서교동)",주락간
"서울특별시 마포구 월드컵북로5나길 18, 1층 105호 (서교동, 서교동 대우미래사랑)",우리동네연탄고기
"서울특별시 마포구 양화로6길 91, 2층 (서교동)",주도
"서울특별시 마포구 동교로22길 38, 1층 일부호 (서교동)",나스 서교
"서울특별시 마포구 양화로6길 57-22, 1층 (서교동)",불막열삼 합정점
"서울특별시 마포구 월드컵북로 9-1, 1층 (서교동)",육전국밥 서교점
"서울특별시 마포구 잔다리로7길 5, 1층 (서교동)",오성국수
"서울특별시 마포구 와우산로15길 33, 1층 (서교동)",이크
"서울특별시 마포구 와우산로19길 27, 2층 (서교동)",무제 홍대점
"서울특별시 마포구 독막로7길 56, 1층 좌측호 (서교동)",톤토로
"서울특별시 마포구 와우산로27길 6, 1층 (서교동)",돼동여지도
"서울특별시 마포구 와우산로29바길 18, 지하1층 일부호 (서교동)",홍대하녹
"서울특별시 마포구 양화로6길 73, 2층 (서교동)",목벌
"서울특별시 마포구 양화로8길 16-22, 1층 (서교동)",안목가돈
"서울특별시 마포구 양화로16길 26, 성화빌딩 1층 (서교동)",홍대맛집 해삼
"서울특별시 마포구 동교로12안길 51, 코람데오빌리지 1층 101호 (서교동)",담택
"서울특별시 마포구 월드컵북로 15, 아도디아빌딩 1층 (서교동)",스시이안앤 홍대입구역점
"서울특별시 마포구 독막로3길 28, 3층 (서교동)",오로시
"서울특별시 마포구 독막로3길 38, 지층2호 (서교동)",한라맥주 합정점
"서울특별시 마포구 독막로7길 27, 1층 일부 좌측호 (서교동)",바코주막
"서울특별시 마포구 양화로 72, 101동 1층 126호 (서교동, 서교동 효성 해링턴 타워)",구복만두 홍대합정본사직영점
"서울특별시 마포구 동교로12안길 36, 모드 1층 (서교동)",오므상칼칼데스 합정본점
"서울특별시 마포구 와우산로29길 40-18, 지층 왼쪽호 (서교동)",도란도란
"서울특별시 마포구 와우산로15길 37, 지층 일부호 (서교동)",록집
"서울특별시 마포구 와우산로 162-14, 1층 일부(좌측)1호 (서교동)",재지패티
"서울특별시 마포구 월드컵로 86, 1층 일부호 (서교동)",역전우동0410 망원역점
"서울특별시 마포구 양화로6길 73, 1층 102,103호 (서교동)",이자카야 고도리
"서울특별시 마포구 잔다리로 66, 1층 (서교동)",카가와
"서울특별시 마포구 와우산로 104, 2층 (서교동)",면식당 홍익대점
"서울특별시 마포구 성미산로2길 33, 城廣빌딩 1층 (서교동)",서부청기와감자탕 망원역점
"서울특별시 마포구 와우산로29마길 6, 1층 (서교동)",멘타쿠
"서울특별시 마포구 양화로 72, 1층 125호 (서교동, 서교동 효성 해링턴 타워)",온복비빔국수
"서울특별시 마포구 잔다리로 30-18, 지1층 (서교동)",잔향
"서울특별시 마포구 어울마당로 122, 2층 (서교동)",태초갈비
"서울특별시 마포구 홍익로 25, 지1층 일부호 (서교동)",프레퍼스 다이어트 푸드 홍대직영점
"서울특별시 마포구 와우산로29라길 21, 지층 102호 (서교동)",헬로팬 홍대점
"서울특별시 마포구 어울마당로 49, 2층 (서교동)",에이셉피자 홍대점
"서울특별시 마포구 와우산로29길 69, 1층 101호 (서교동)",황금복돼지
"서울특별시 마포구 독막로3길 18, 302호 (서교동)",안트로
"서울특별시 마포구 성미산로2길 43, 1층 201호 (서교동)",성립
"서울특별시 마포구 잔다리로3안길 27, b03호 (서교동)",넨네
"서울특별시 마포구 동교로19길 48 (서교동, 1층일부)",송가네정육식당
"서울특별시 마포구 와우산로29바길 12, 1층 (서교동)",오제키
"서울특별시 마포구 양화로6길 57-13 (서교동, 2층201호)",블루먼데이
"서울특별시 마포구 와우산로21길 36-4, 2층 (서교동)",티퍼프
"서울특별시 마포구 성미산로2길 43, 지하1층 (서교동)",서울미트볼
"서울특별시 마포구 와우산로21길 20-11, 철록헌 1층 좌측호 (서교동)",호요 홍대점
"서울특별시 마포구 양화로6길 57-16, 지1층 (서교동)",고엔
"서울특별시 마포구 와우산로 76, 2층 (서교동)",한성짬뽕
"서울특별시 마포구 독막로7길 23, 1,2층 (서교동)",대동
"서울특별시 마포구 와우산로17길 24-4, 1층 (서교동)",퍼블릭
"서울특별시 마포구 양화로6길 99-9, 지하1층 (서교동)",이츠야
"서울특별시 마포구 동교로18길 4, A동 1층 (서교동)",바다애
"서울특별시 마포구 홍익로5안길 32, 2층 (서교동, 홍대가자Ⅰ빌딩)",테즈쿠리
"서울특별시 마포구 독막로9길 43 (서교동,2층)",데스페라도
"서울특별시 마포구 양화로6길 57-22, 지층 101호 (서교동)",지하102호 3호점
"서울특별시 마포구 양화로6길 45 (서교동, 1층 101호 일부)",해정집
"서울특별시 마포구 양화로6길 57-10, 1층 (서교동)",장미장
"서울특별시 마포구 어울마당로 136-13, 1층 102호 (서교동)",더6회
"서울특별시 마포구 와우산로29바길 11-5, 1층 (서교동)",훌리건
"서울특별시 마포구 월드컵로10길 15, 1층 좌측호 (서교동)",잡을손
"서울특별시 마포구 와우산로27길 28, 1층 (서교동)",샤브로21 서교
"서울특별시 마포구 양화로6길 57, 3층 (서교동)",먼로
"서울특별시 마포구 와우산로19길 19, 1층 (서교동)",킹케밥
"서울특별시 마포구 와우산로21길 28, 2층 (서교동)",타오
"서울특별시 마포구 양화로6길 13, 2층 (서교동)",88노가리 합정점
"서울특별시 마포구 홍익로2길 43, 1층 4호 (서교동)",비밥
"서울특별시 마포구 와우산로29마길 27, 디자인카운티 2층 (서교동)",스아게 K
"서울특별시 마포구 독막로3길 35, 지상1층 (서교동)",바코포차
"서울특별시 마포구 양화로6길 57-13, 지1층 (서교동, 동궁빌리지)",호계 합정본점
"서울특별시 마포구 와우산로29나길 7, 1층 (서교동)",바다생고기
"서울특별시 마포구 어울마당로5길 3, 1층 (서교동)",도적
"서울특별시 마포구 양화로8길 38, 서교동빌딩 1층 (서교동)",김숙성 합정점
"서울특별시 마포구 양화로16길 18, B01호 (서교동)",홍대족발
"서울특별시 마포구 월드컵로10길 13, 1층 좌측호 (서교동)",피오리
"서울특별시 마포구 와우산로21길 19-11, 지하1층 (서교동)",꼬치록록
"서울특별시 마포구 와우산로17길 19-8, 1,2층 (서교동)",라루즈
"서울특별시 마포구 와우산로21길 31-11, 1층 (서교동)",육산장
"서울특별시 마포구 어울마당로 57, 1층 (서교동)",북촌손만두 홍대로데오점
"서울특별시 마포구 잔다리로 20-13, 지하1층 (서교동)",정든집
"서울특별시 마포구 어울마당로 40, 1층 102호,103호 (서교동)",뉴욕버거
"서울특별시 마포구 독막로3길 28-7, 1층 (서교동)",우미사치
"서울특별시 마포구 와우산로29마길 7 (서교동, 지하1층 일부)",히메시야
"서울특별시 마포구 독막로3길 17, 1층 (서교동)",얼맥당 홍대카페거리점
"서울특별시 마포구 와우산로21길 28-6 (서교동, 1층)",홍대씨부엉
"서울특별시 마포구 양화로6길 57-5 (서교동, 지하1층 일부)",더쿠포차
"서울특별시 마포구 동교로 156-5 (서교동, 1층)",들풀
"서울특별시 마포구 독막로3길 27 (서교동, 지하1층)",만월당 합정점
"서울특별시 마포구 어울마당로 86, 2-4층 (서교동)",오렌지
"서울특별시 마포구 양화로6길 57-7 (서교동, 1층 일부)",터틀탭스
"서울특별시 마포구 독막로9길 6, 1층 (서교동)",더피자보이즈
"서울특별시 마포구 월드컵북로5길 68, 1층 104,105호 (서교동, 광남벨라스2차아파트)",식신매운갈비찜
"서울특별시 마포구 월드컵북로5길 21, 1층 (서교동)",장독대
"서울특별시 마포구 와우산로27길 24, 뉴빌503 지층 102호 (서교동)",모닭모닭
"서울특별시 마포구 잔다리로3길 29 (서교동,지하1층)",하랑
"서울특별시 마포구 동교로 125, 1층 일부 (서교동)",토리비
"서울특별시 마포구 월드컵북로7길 11, 1층 (서교동)",두찜 홍대입구역점
"서울특별시 마포구 양화로6길 57-24, 1층 (서교동, 엘림빌라)",나베공방
"서울특별시 마포구 독막로3길 18, 5층 (서교동)",디껨
"서울특별시 마포구 잔다리로 30-32, 지1층 B01호 (서교동)",카츠하루 홍대점
"서울특별시 마포구 월드컵로14길 17, 지층 (서교동)",이담쌀롱
"서울특별시 마포구 와우산로29라길 11, 지하1층 102호 (서교동)",시장냉면
"서울특별시 마포구 독막로7길 63, 지송재 1층 (서교동)",금별맥주 홍대점
"서울특별시 마포구 어울마당로 94-7, 대유빌딩 1층 (서교동)",루디스
"서울특별시 마포구 동교로 112, 1층 (서교동)",오로촌
"서울특별시 마포구 월드컵로14길 16, 1층 101호 (서교동)",끼토
"서울특별시 마포구 양화로6길 39, 2층 202호 (서교동)",블랑루즈
"서울특별시 마포구 독막로3길 21, 1층 (서교동)",우규
"서울특별시 마포구 독막로3길 33-5, 지1층 (서교동)",이양권반상
"서울특별시 마포구 동교로 114, 태복빌딩 1층 101호 (서교동)",한국피자헛 홍대서교점
"서울특별시 마포구 와우산로29바길 11-3, 1층 102호 (서교동)",화담
"서울특별시 마포구 와우산로21길 28-12, 1층 (서교동)",또보겠지떡볶이집 깐따삐아점
"서울특별시 마포구 와우산로21길 31-12, 1층 202호 (서교동)",카페 꼬모
"서울특별시 마포구 와우산로15길 50, 2층 (서교동)",카페 라스플라미아
"서울특별시 마포구 월드컵북로7길 11, 1층 110호 (서교동)",이모네
"서울특별시 마포구 어울마당로 74, 금광빌딩 1,2층 (서교동)",다트플렉스
"서울특별시 마포구 어울마당로 136, 2층 (서교동)",금별맥주 홍대입구역점
"서울특별시 마포구 독막로7길 60, 2층 (서교동)",모이정
"서울특별시 마포구 어울마당로5길 46, 지상2층 (서교동)",제이케이
"서울특별시 마포구 홍익로 10, 101동 지1층 140호 (서교동, 서교푸르지오)",모모유부 홍대점
"서울특별시 마포구 양화로 120, 1층 102호 (서교동)",3일한우국밥
"서울특별시 마포구 월드컵북로 49, 1층 (서교동)",마포구이마당 서교직영점
"서울특별시 마포구 잔다리로 74, 1층 101호 (서교동)",서오릉피자 서교점
"서울특별시 마포구 월드컵로 40, 1층 101호 (서교동)",장수멸치국수
"서울특별시 마포구 양화로6길 99-5, 지하1층 (서교동)",포리포리텐진
"서울특별시 마포구 홍익로5길 57, 1층 (서교동)",영빈
"서울특별시 마포구 어울마당로 112-3, 2층 (서교동)",어리라운지
"서울특별시 마포구 동교로 108, 고니빌딩 1층 (서교동)",한합
"서울특별시 마포구 양화로 128, 1층 (서교동)",청기와타운
"서울특별시 마포구 잔다리로 109, 이지스빌딩 1층 (서교동)",몽그로페페
"서울특별시 마포구 잔다리로 83 (서교동, 1층)",서교가든숯불갈비
"서울특별시 마포구 양화로8길 32-15, 1층 (서교동)",무니
"서울특별시 마포구 잔다리로2길 13, 지1층,1층,2층,3층 (서교동)",토끼정
"서울특별시 마포구 와우산로32길 13, 1층 (서교동)",최고집
"서울특별시 마포구 동교로 125 (서교동, 1층일부)",달빛소굴
"서울특별시 마포구 독막로7길 57, 1,2층 (서교동)",허밍벨라
"서울특별시 마포구 와우산로29길 48-6 (서교동, 지1층일부)",탐탐오향족발
"서울특별시 마포구 와우산로21길 36-4 (서교동, 1층일부)",천사곱창
"서울특별시 마포구 독막로5길 23 (서교동, 1층)",빼레
"서울특별시 마포구 와우산로29바길 20, 1층 (서교동)",누바
"서울특별시 마포구 와우산로29바길 6 (서교동, 지하1층)",키즈나
"서울특별시 마포구 독막로9길 43, 3층 (서교동)",옥탑방 부엉이
"서울특별시 마포구 와우산로29길 48-6, 1층 (서교동)",탐탐오향족발2
"서울특별시 마포구 와우산로21길 20-5 (서교동, 1층일부)",무쇠김치삼겹
"서울특별시 마포구 와우산로29길 14-19 (서교동, 지하1층)",아씨시
"서울특별시 마포구 어울마당로 51-1 (서교동, B1층)",섬마을
"서울특별시 마포구 독막로3길 28, 2층 (서교동)",아초바
"서울특별시 마포구 독막로7길 26, 3층 (서교동)",와인어클락
"서울특별시 마포구 월드컵북로1길 50 (서교동, 1층일부)",시골순대
"서울특별시 마포구 잔다리로 97, 1층 (서교동)",육향
"서울특별시 마포구 와우산로15길 40 (서교동, 지1층일부)",주문포차
"서울특별시 마포구 와우산로29바길 6 (서교동,1층)",홍대 수족관
"서울특별시 마포구 양화로7길 6-4 (서교동, 1층,2층)",주식회사로켓치킨
"서울특별시 마포구 독막로9길 37 (서교동, 101호)",항방양꼬치
"서울특별시 마포구 독막로9길 9 (서교동, 1층)",바다포차
"서울특별시 마포구 와우산로29라길 19, 지하1층 (서교동)",돈나무
"서울특별시 마포구 와우산로29길 8 (서교동,지하2층)",곱창전골
"서울특별시 마포구 와우산로23길 43, 2층 (서교동)",그남자의볶음밥
"서울특별시 마포구 와우산로29길 26-5 (서교동, 지하1층)",더파이브올스
"서울특별시 마포구 독막로3길 24-6 (서교동, 1층일부)",물고기초밥
"서울특별시 마포구 양화로15길 16 (서교동, 1층)",설맥 홍대서교점
"서울특별시 마포구 어울마당로 126-1 (서교동,지1층)",통통돼지
"서울특별시 마포구 와우산로29바길 16, 1층 (서교동)",황소곱창
"서울특별시 마포구 동교로 156, 1층 (서교동)",아리랑
"서울특별시 마포구 홍익로3길 44, 5층 (서교동)",원나잇
"서울특별시 마포구 와우산로29길 14-8 (서교동, 지하1층 일부)",고토히라우동
"서울특별시 마포구 와우산로29라길 12, 1층 (서교동)",카페333
"서울특별시 마포구 동교로18길 44 (서교동,1층 일부)",텃밭
"서울특별시 마포구 독막로7길 51, 3,4층 (서교동)",시카고
"서울특별시 마포구 양화로6길 57-5, 지상1층 지하1층 층 (서교동)",대포막창 生 삼겹
"서울특별시 마포구 와우산로29마길 6 (서교동, 지하1층 일부)",쭌곱창
"서울특별시 마포구 와우산로21길 20-5 (서교동, 지하1층)",노라바라
"서울특별시 마포구 와우산로29길 14-7 (서교동, 1층)",모미모미 홍대본점
"서울특별시 마포구 어울마당로 58-1 (서교동,1층)",깐부치킨
"서울특별시 마포구 독막로7길 20 (서교동,1층)",몽주방
"서울특별시 마포구 월드컵북로7길 11 (서교동,성지빌딩1층 104호)",갯마을
"서울특별시 마포구 와우산로29길 44, 2층 (서교동)",애쉬앤블룸 1
"서울특별시 마포구 동교로 103 (서교동,1층)",명품잔치국수집
"서울특별시 마포구 양화로 122 (서교동, 1층 일부)",옹다래찜닭.디저트
"서울특별시 마포구 월드컵로14길 12 (서교동, 1층)",사이
"서울특별시 마포구 양화로6길 21 (서교동, 1층일부)",통영박이충무김밥
"서울특별시 마포구 와우산로29라길 26 (서교동, 지층일부)",마시타야
"서울특별시 마포구 양화로 58, 1층 102,103,104,105호 (서교동, 명지한강빌드웰)",마포오리농장
"서울특별시 마포구 잔다리로7길 37 (서교동,1층)",몽마르뜨언덕
"서울특별시 마포구 와우산로21길 36-12 (서교동, 지층)",주섬주섬
"서울특별시 마포구 와우산로 156, 2층 (서교동)",와우끝집
"서울특별시 마포구 양화로7길 12 (서교동,1층)",마포만두
"서울특별시 마포구 어울마당로 116, 2층 (서교동)",포몬스 홍대점
"서울특별시 마포구 어울마당로 136-18 (서교동, 1층 일부)",마왕족발
"서울특별시 마포구 와우산로23길 52, 2층 (서교동)",맘대로 마라탕훠궈
"서울특별시 마포구 양화로6길 99-7, 서교빌딩 1층 (서교동)",버켓크랩
"서울특별시 마포구 월드컵북로5길 22 (서교동,1층)",고랭
"서울특별시 마포구 와우산로32길 38 (서교동,외1필지(9-6) 1층)",식이네
"서울특별시 마포구 와우산로15길 30 (서교동, 지1층)",제순식당 홍대점
"서울특별시 마포구 어울마당로 136-5, 지하1층 (서교동)",우리닭갈비
"서울특별시 마포구 양화로6길 77, 지상2층 (서교동)",술개구리
"서울특별시 마포구 잔다리로3안길 21 (서교동, 1~2층)",베이스캠프
"서울특별시 마포구 잔다리로3안길 44 (서교동, 지하1층 일부)",이치류
"서울특별시 마포구 와우산로35길 11 (서교동, 지하1층일부)",턴테이블
"서울특별시 마포구 양화로7길 84, 1층 (서교동)",평이담백 뼈칼국수
"서울특별시 마포구 홍익로 10 (서교동,서교푸르지오 B118,B119,B120호)",봉대박스파게티 홍대점
"서울특별시 마포구 양화로6길 57-7, 1층일부 (서교동)",든든
"서울특별시 마포구 잔다리로6길 40-6 (서교동,2층)",소고산제일루
"서울특별시 마포구 와우산로18길 29, 지1층 (서교동, Terra빌딩)",닭꼬얌
"서울특별시 마포구 양화로6길 67, 2층 (서교동)",고수포차 본점
"서울특별시 마포구 잔다리로2길 24, 2층 (서교동)",나성타코 홍대점
"서울특별시 마포구 와우산로29길 56-11 (서교동, 지1층 일부)",야키토리나루토 홍대
"서울특별시 마포구 잔다리로 60, 1층동 (서교동)",시향
"서울특별시 마포구 어울마당로 100-8 (서교동, 1,2층)",홍대 마포껍데기
"서울특별시 마포구 와우산로29길 4-13, 1층 (서교동)",림가기
"서울특별시 마포구 동교로12길 13 (서교동, 1층일부)",커피디지 합정점
"서울특별시 마포구 어울마당로 136-18, 101호 (서교동)",할머니가래떡볶이
"서울특별시 마포구 잔다리로6길 34-12, 1층 (서교동)",타마고
"서울특별시 마포구 와우산로27길 79 (서교동, 2층)",춘리마라탕 홍대점
"서울특별시 마포구 와우산로18길 12 (서교동, 1층)",효봉포차
"서울특별시 마포구 월드컵북로5길 21 (서교동, 1층 일부)",미미방
"서울특별시 마포구 잔다리로7안길 3 (서교동, 1층일부)",자성당
"서울특별시 마포구 잔다리로6길 36 (서교동,동천빌딩 1층)",제주특별집
"서울특별시 마포구 와우산로23길 48 (서교동,지하1층)",비비리2
"서울특별시 마포구 양화로6길 9 (서교동,지하1층)",마포소문난족발
"서울특별시 마포구 양화로7길 6-12 (서교동, 삼이빌딩 1층)",스시겐
"서울특별시 마포구 독막로3길 24-11 (서교동, 지1층일부)",쿠시카츠 오지상
"서울특별시 마포구 와우산로23길 50 (서교동, 2층)",하카타나카
"서울특별시 마포구 홍익로3길 32 (서교동,1층)",노루목황소곱창
"서울특별시 마포구 잔다리로 9, 1층 (서교동)",온달집
"서울특별시 마포구 와우산로15길 49, 1층 (서교동)",샤브로21 상수역
"서울특별시 마포구 와우산로 91 (서교동, 1층)",르브와
"서울특별시 마포구 월드컵북로 5 (서교동, 1층)",조선화로구이
"서울특별시 마포구 동교로18길 37, 1층동 (서교동)",남북통일
"서울특별시 마포구 와우산로23길 35-3 (서교동,2층)",서교참치
"서울특별시 마포구 독막로9길 31, SPACE 1층 (서교동)",카레시
"서울특별시 마포구 잔다리로 126, 1층 101,102호 (서교동)",형제소머리국밥
"서울특별시 마포구 양화로16길 15, 무광빌딩 1층 102호 (서교동)",우주집
"서울특별시 마포구 어울마당로 55, 3층 (서교동)",훼미리포차
"서울특별시 마포구 어울마당로5길 7 (서교동,1층)",달봉비어
"서울특별시 마포구 월드컵북로7길 11 (서교동,1층)",네네치킨 서교점
"서울특별시 마포구 잔다리로6길 34-9, 1층 (서교동)",돈주는남자
"서울특별시 마포구 동교로 126 (서교동, 광남벨라스 1층 106호)",마츠에라멘
"서울특별시 마포구 와우산로21길 20-6 (서교동,1층)",원당감자탕
"서울특별시 마포구 동교로 149 (서교동, 1층)",필프리 홍대본점
"서울특별시 마포구 어울마당로 132-1 (서교동, 지하1층)",쭈앤쭈
"서울특별시 마포구 와우산로17길 19, 1층 (서교동)",아웃닭 홍대점
"서울특별시 마포구 어울마당로 136-2 (서교동,1,2층)",신선화로
"서울특별시 마포구 월드컵북로5나길 18 (서교동,대우미래사랑 1층 101호(101-1))",고기장인
"서울특별시 마포구 양화로6길 19 (서교동, 1층)",종로빈대떡
"서울특별시 마포구 와우산로29가길 79 (서교동,1층)",지로우 라멘
"서울특별시 마포구 양화로6길 13, 1층 (서교동)",고향집김치삼겹살
"서울특별시 마포구 양화로6길 9-6 (서교동,외1필지 101호)",다북어국
"서울특별시 마포구 홍익로3길 15 (서교동,2층)",큰맘할매순대국
"서울특별시 마포구 홍익로 3-24 (서교동, 지하1층)",향미
"서울특별시 마포구 홍익로5안길 24, 1층 (서교동)",멘야산다이메
"서울특별시 마포구 월드컵북로5길 16 (서교동,1층)",정통호프
"서울특별시 마포구 와우산로21길 4-3, 1층동 (서교동)",다락투
"서울특별시 마포구 독막로5길 17, 101호 (서교동, 외1필지 )",나루토 오모테나시
"서울특별시 마포구 양화로11길 68 (서교동, 1층)",서래옥
"서울특별시 마포구 와우산로19길 16 (서교동, 1층)",코너펍 Corner Pub
"서울특별시 마포구 잔다리로6길 28 (서교동,1층)",민트하임
"서울특별시 마포구 월드컵북로7길 5, 지상1층 (서교동)",먹보식당
"서울특별시 마포구 동교로12길 21 (서교동, 영진시장 1층)",웰빙뚝배기
"서울특별시 마포구 와우산로15길 10 (서교동,1층)",디스틸
"서울특별시 마포구 와우산로 91, 2층동 (서교동)",홍익수제비
"서울특별시 마포구 와우산로29길 4-26 (서교동, 1층일부)",불나방
"서울특별시 마포구 동교로 106, 1층 102호 (서교동)",미스타교자
"서울특별시 마포구 홍익로3길 44, 9층 (서교동)",길리건스
