소재지면적,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
73.98,서울특별시 마포구 합정동 444-3 ,"서울특별시 마포구 희우정로 47, 1층 (합정동)",희도식당,한식,191638.312474283,449857.973462179
79.30,서울특별시 마포구 합정동 392-12 ,"서울특별시 마포구 양화로1길 25-3, 지1층 (합정동)",코바시,일식,191998.169507535,449731.985714098
80.53,서울특별시 마포구 합정동 377-32 동원빌딩,"서울특별시 마포구 양화진4길 17, 동원빌딩 1층 (합정동)",투게더다이닝,한식,192087.936834953,449456.802695833
39.82,서울특별시 마포구 합정동 382-20,"서울특별시 마포구 양화로 13, 2층 204호 (합정동)",몽림,경양식,192021.898630421,449617.783266833
24.08,서울특별시 마포구 합정동 383-3번지 ,서울특별시 마포구 월드컵로1길 5 (합정동),옹기골바베큐,한식,192212.846088377,449690.552677402
82.80,서울특별시 마포구 합정동 472 마포 한강 푸르지오 ,"서울특별시 마포구 월드컵로1길 14, B119-1,2호 (합정동, 마포 한강 푸르지오)",백두한우곱창,한식,192171.23539752,449751.486972783
38.16,서울특별시 마포구 합정동 387-5,"서울특별시 마포구 월드컵로3길 31-5, 1층 (합정동)",최강금돈까스,한식,192069.431204353,449760.936390871
42.90,서울특별시 마포구 합정동 426-14번지 ,"서울특별시 마포구 월드컵로5길 16, 5층 (합정동)",장소,한식,192101.875680782,449956.846143895
25.00,서울특별시 마포구 합정동 372-4 ,"서울특별시 마포구 독막로2길 18, 1층 (합정동)",우엔,경양식,192372.527502865,449506.829701219
26.00,서울특별시 마포구 합정동 433-29 ,"서울특별시 마포구 포은로 54, 1층 가운데호 (합정동)",오아시스 망원,경양식,191698.180225387,450007.296610998
86.32,서울특별시 마포구 합정동 413-16 ,"서울특별시 마포구 양화로6길 38, 지1층 (합정동)",향락,한식,192530.441813073,449617.18967314
40.00,서울특별시 마포구 합정동 363-1번지 ,"서울특별시 마포구 독막로 38, 1층일부 (합정동)",걸작떡볶이치킨,호프/통닭,192640.755436387,449518.147168183
26.13,서울특별시 마포구 합정동 437-9 ,"서울특별시 마포구 포은로 40, 1층 (합정동)",폴베리,"외국음식전문점(인도,태국등)",191746.769660825,449872.55608231
30.00,서울특별시 마포구 합정동 427-18 ,"서울특별시 마포구 월드컵로 41, 1층 (합정동)",고미태,한식,192141.728319918,450084.324468697
30.00,서울특별시 마포구 합정동 437-5 ,"서울특별시 마포구 포은로2가길 6, 1층 (합정동)",심야식당 오밤중,한식,191780.472414458,449903.886379674
98.00,서울특별시 마포구 합정동 393-15 합정글로벌센터,"서울특별시 마포구 포은로2가길 62, 합정글로벌센터 1층 (합정동)",스시 미야비,일식,191970.337246838,449699.269424226
24.75,서울특별시 마포구 합정동 410-5 ,"서울특별시 마포구 독막로 51, 1층 (합정동)",솔도,한식,192768.895831792,449541.830258337
90.23,서울특별시 마포구 합정동 379-4 주니비노 호텔 ,"서울특별시 마포구 양화진2길 31, 주니비노 호텔 12층 (합정동)",이끼,경양식,192043.507297118,449524.361048163
867.79,서울특별시 마포구 합정동 379-4 주니비노 호텔 ,"서울특별시 마포구 양화진2길 31, 주니비노 호텔 1,2층 (합정동)",저스티나,경양식,192043.507297118,449524.361048163
57.20,서울특별시 마포구 합정동 472 마포 한강 푸르지오 ,"서울특별시 마포구 월드컵로1길 14, B117-1호 (합정동, 마포 한강 푸르지오)",식껍 합정점,한식,192171.23539752,449751.486972783
105.97,서울특별시 마포구 합정동 393-11,"서울특별시 마포구 월드컵로1길 54, 1층 (합정동)",함반,일식,191978.403860488,449649.834916796
33.00,서울특별시 마포구 합정동 370-4,"서울특별시 마포구 성지3길 22, 1층 좌측일부 (합정동)",미필담,일식,192347.299690671,449375.733074278
33.02,서울특별시 마포구 합정동 363-30,"서울특별시 마포구 독막로4길 9, 지1층 (합정동)",리틀케이브,"외국음식전문점(인도,태국등)",192592.003522562,449497.854954671
63.60,서울특별시 마포구 합정동 361-20 ,"서울특별시 마포구 성지3길 67, 2층 (합정동)",나물먹는곰 국밥집,한식,192565.279456173,449337.585424262
29.75,서울특별시 마포구 합정동 363-30 ,"서울특별시 마포구 독막로4길 9, 1층 (합정동)",윤슬,일식,192592.003522562,449497.854954671
28.02,서울특별시 마포구 합정동 432-6 화진리버빌,"서울특별시 마포구 동교로 60, 1층 102호 (합정동, 화진리버빌)",밥사랑,한식,191876.551442822,450106.19726271
86.90,서울특별시 마포구 합정동 359-27 아진,"서울특별시 마포구 성지3길 60, 아진 2층 전체호 (합정동)",네즈,일식,192523.717953733,449316.641255771
24.77,서울특별시 마포구 합정동 354-3 ,"서울특별시 마포구 독막로 50, 1층 일부 (합정동)",김밥 말자,분식,192759.686076676,449500.513087023
82.32,서울특별시 마포구 합정동 392-12 ,"서울특별시 마포구 양화로1길 25-3, 1층 (합정동)",돼지전,한식,191998.169507535,449731.985714098
51.00,서울특별시 마포구 합정동 375-29번지 ,"서울특별시 마포구 성지길 24 (합정동, 1층 일부)",백채합정역점,호프/통닭,192246.309175491,449486.884046513
