Restaurant,Menu
갯마을생선구이,"[['모듬생선구이', 50000], ['병어조림', 50000], ['무침(갑오징어/병어꼬막)', 30000], ['고등어구이', 11000], ['삼치구이', 11000], ['가자미구이', 11000], ['갈치구이', 11000], ['조기구이', 11000], ['아구탕', 26000], ['대구탕', 30000], ['삼식이탕', 26000], ['고등어조림', 26000], ['갈치조림', 26000], ['오징어볶음', 26000], ['고추장불고기', 22000], ['병어막회', 35000], ['갑오징어숙회', 35000], ['오징어숙회', 23000], ['꼬막', 23000], ['생굴', 23000]]"
옹다래찜닭 홍대점,"[['옹다래찜닭(소)', 29000], ['고추장찜닭(L)', 34000], ['신홍초찜닭(L)', 36000], ['순살치즈찜닭(L)', 37000]]"
마포오리농장,"[['양푼이김치찌게', 9000], ['주물럭정식', 10000], ['훈제정식', 10000], ['소내장탕', 11000], ['능이버섯백숙', 80000], ['연잎 황토 진흙구이', 80000], ['삼채누룽지백숙', 73000], ['생오리 로스구이 (1인) (300g)', 21000], ['생오리 주물럭 (1인) (300g)', 24000], ['오리훈제구이 (1인) (300g)', 22000], ['더덕 생오리 주물럭 (중)', 52000], ['능이버섯 닭백숙', 80000], ['능이삼계탕', 21000], ['삼채삼계탕', 19000], ['들깨삼계탕', 18000], ['녹두삼계탕', 16000], ['오리곰탕', 9000], ['닭곰탕', 9000]]"
식이네해물포차,"[['모듬사시미', 35000], ['참치뱃살사시미', 35000], ['전복', 9000], ['연포탕', 30000], ['메로구이', 20000]]"
플래닛,[]
봉대박 파스타&찜닭 홍대점,"[['간장마늘찜닭(반마리)', 20000], ['봉골레', 6900], ['토마토 봉골레', 8900], ['너구리 리조또', 7900], ['고르곤졸라 피자', 12900]]"
마포껍데기 홍대점,"[['A세트(2인분)', 30000], ['B세트(2인분)', 43000], ['C세트(2인분)', 54000], ['벌집껍데기(150g)', 9000], ['돼지막창(150g)', 12000], ['주먹고기(150g)', 12000], ['꼬들살(150g)', 12000], ['뒷고기(150g)', 12000], ['무뼈닭발(200g)', 15000], ['삼겹살(150g)', 13000], ['오돌뼈(150g)', 12000], ['한우된장찌개', 8000], ['껍데기볶음밥', 6000], ['갈치속젖볶음밥', 6000], ['된장찌개', 8000], ['해장라면', 5000], ['곰취육개장', 8000], ['냉면(물/비빔)', 6000]]"
도프,"[['나쵸', 12000], ['돈까스', 15000], ['치킨샐러드', 15000]]"
네네치킨 서교점,"[['네네마늘치킨', 22000], ['핫블링치킨', 22000], ['크리미언치킨', 22000], ['청양마요치킨', 22000], ['스노윙MAXX', 23000], ['닭날개(12개)', 23000], ['닭다리(10개)', 19000], ['레드마블치킨', 22000], ['레드마요치킨', 22000], ['매콤치즈스노윙', 22000], ['소이갈릭치킨', 22000], ['양념반+후라이드반', 20000], ['어니언스노윙', 22000], ['오리엔탈파닭', 22000], ['윙봉(24개)', 23000], ['청양마요치킨', 22000], ['치즈스노윙', 22000], ['코찡마요치킨', 22000], ['핫후라이드', 20000], ['후라이드', 19000]]"
고기장인,"[['장인의 고기만500g 삼겹, 우삼겹', 16000], ['장인의 실속보따리', 23000], ['장인의 고기만500g 목살', 15000], ['장인의 삼겹/목살 보따리', 30000], ['한끼뚝딱 김치찌개 세트', 9000]]"
야키토리 나루토 합정점 (오모테나시),"[['오모테나시 A코스', 25800], ['오모테나시 B코스', 35800]]"
웰빙멸치국수 서교점,"[['멸치국수', 4500], ['비빔국수', 6000], ['수제비', 5000], ['라면', 3500], ['만두', 4000]]"
파파초밥,"[['새우간장밥', 9000], ['연어세트', 15000], ['뚝배기알밥', 7000], ['연어롤', 7000], ['우동', 6000], ['광어', 2000], ['연어', 1800], ['익힌새우', 1500], ['참치등살', 2000], ['소고기', 2200], ['게살마요', 1300], ['생새우', 1300], ['갈릭불새우', 1800], ['광어뱃살', 2200], ['유부초밥', 1000], ['연어뱃살', 2000], ['다마고', 1000], ['황새치 스테이크', 1800], ['연어정식', 12000], ['새우정식', 11000], ['초밥(7pcs) + 우동', 8000], ['', None], ['', None], ['', None]]"
어머님밥상,"[['한식뷔페', 10000]]"
노래타운 베리굿 홍대본점,"[['버터먹태구이', 17000], ['순살치킨&감자튀김', 20000], ['계절과일', 28000], ['치킨 케이준 샐러드', 16000], ['붉은 홍새우 버터구이', 25000]]"
한소끔 서교본점,"[['튀김손만두(6p)', 7000], ['한소끔 김치 손만두', 7000], ['가정식 손만두국', 10000], ['가정식 떡만두국', 10000], ['가정식칼만두국', 10000], ['소고기떡국', 9000], ['직접만든 동그랑땡', 8000], ['한소끔 비빔밥', 10000], ['매콤 비빔면', 8500], ['매콤 비빔면+튀김만두(3p)', 11000], ['직접갈아만든 콩국수(여름메뉴)', 10000], ['굴만두국(계울메뉴)', 13000], ['굴떡만두국(겨울메뉴)', 13000], ['굴칼만두국(겨울메뉴)', 13000], ['굴떡국', 12000]]"
커리지널,"[['야채 스프카레', 11000], ['차슈 스프카레', 13500], ['튀긴 장각 스프카레', 15500], ['하와이안 새우 스프카레', 16000], ['차슈 카레라이스', 9500], ['마라 스프카레', 15500], ['가지만두', 4000]]"
네비올로 합정,"[['엔초비 스파게티', 18000], ['멜론 자몽 하몽', 18000], ['살치살 스테이크 (300g)', 59000], ['스파이시 초리죠 펜네', 20000], ['바질 페스토 크림 뇨끼', 23000], ['트러플 빠께리', 25000], ['갈릭 버터 알감자', 14000]]"
계림원 합정역점,"[['콘닭', None], ['누릉지 통닭', None], ['모듬 불닭', None], ['치즈 콘닭', None], ['누릉지 삼계탕', None]]"
백두한우곱창,"[['모듬(250g)', 25000], ['백두곱창(250g)', 25000], ['백두대창(250g)', 25000], ['백두막창(250g)', 25000], ['볶음밥', 4000], ['치즈.떡사리', 3000], ['특양(200g)', 26000]]"
식껍 합정점,"[['생고기모듬', 46000]]"
금문중화요리,"[['간짜장면', 7000], ['유니짜장면', 5000], ['금문짬뽕', 8000], ['갑오징어짬뽕', 14000], ['볶음밥', 7000], ['마파두부밥', 8000], ['탕수육(소)', 12000]]"
옹달샘 합정고깃집,"[['제주 흑돼지 (반근)', 28000], ['제주 백돼지 (반근)', 23000], ['김치찌개', 7000], ['꽁치김치찌개', 7000], ['햄 김치찌개', 7000], ['냉면', 6000]]"
쿠시로지,"[['염통꼬치(2pc)', 3000], ['네기마꼬치', 3500], ['무릎연골꼬치', 3000], ['닭날개꼬치', 3500], ['닭목살꼬치', 3500], ['명란안심꼬치', 3500], ['은행꼬치(2pc)', 3000], ['가래떡꼬치(1pc)', 3000], ['새송이버섯꼬치', 2500], ['베이컨토마토꼬치', 3500], ['베이컨파인애플꼬치', 3000], ['베이컨꽈리고추꼬치', 3500], ['베이컨치즈떡꼬치', 3000], ['삼겹살꼬치', 4000], ['팽이삼겹꼬치(2pc)', 4000], ['소생갈비살꼬치', 5000], ['이베리코늑간살꼬치', 4000], ['야끼소바', 15000], ['치킨가라아게', 13000], ['쿠시카츠', 16000], ['떡볶이&김말이', 12000], ['', None], ['', None], ['', None], ['', None]]"
숯닭,"[['숯불닭갈비', 12000], ['양념삼겹살(200g)', 13000], ['주먹고기(200g)', 12000], ['감자전', 10000], ['오꼬노미야끼', 18000]]"
신야텐야 합정교보문고점,"[['야사이텐동', 9500], ['신야텐동', 11500], ['토리텐카레', 12500], ['신야가정식', 16500], ['신야텐정식', 14500], ['부타텐정식', 14000], ['토리텐정식', 14000], ['롤카츠정식', 14000], ['규나베정식', 14000], ['롤카츠나베정식', 14000], ['에비텐나베정식', 14000], ['이카텐동', 12000], ['롤카츠동', 11000], ['부타텐동', 11000], ['토리텐동', 11000], ['에비텐동', 13000], ['우나기스페셜', 17000], ['텐뿌라모리아와세', 25000], ['부터텐카레', 12500], ['롤카츠카레', 12500], ['이카텐카레', 13500], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None]]"
B&B,"[['블랙 러시안', 9000], ['화이트 러시안', 9000], ['올드 패션드', 9000], ['브레이브 불', 11000], ['화이트 불', 11000], ['더티 마더', 10000], ['더티 화이트 마더', 10000], ['스팅어', 10000], ['바버리 코스트', 9000], ['옐로우 버드 - 노랑새', 10000], ['블루 버드 - 파랑새', 9000], ['애플마티니', 10000], ['해적펀치', 9000], ['말리부 펀치', 9000], ['비숍', 10000], ['하비 웰뱅어', 10000], ['싱가폴 슬링', 10000], ['오렌지 블라썸', 8000], ['잠비 - 한잔술', 11000], ['썸브레로 - 멕시칸 중절모', 8000]]"
육전면사무소 합정교보문고점,"[['불고기사골쫀득떡면', 9000], ['소고기해장생면', 8500], ['소고기생면', 8500], ['소고기자작생면', 8000]]"
소노야 합정점,[]
슬오라,"[['유자보쌈과미나리무침', 19000], ['양갈비스테이크', 24000]]"
이가네양갈비양꼬치 합정역점,"[['양왕갈비 (250g)', 26000], ['양등심꼬치 (250g)', 23000], ['양왕꼬치 (1인분)', 18000], ['탕수육', 21000], ['가지요리', 20000], ['마파두부', 16000], ['온면', 7000], ['볶음밥', 7000]]"
